condition,image_num,sample_id,C_coverage,Ca_coverage,Cl_coverage,Mg_coverage,Na_coverage,O_coverage,S_coverage,mds_x,mds_y
D,15,3,0.019740382028517623,0.018465832660747916,0.038771186440677965,0.09051990852838311,0.056066720473500135,0.05457358084476729,0.024260156039817057,0.000711071592863179,0.001039664423097465
D,16,4,0.01734934086629002,0.019740382028517623,0.047175141242937854,0.08622881355932203,0.07571630347054076,0.05316787732041969,0.029630750605326876,0.0010928599788465106,-0.003307654577558519
D,17,4,0.018092547753564704,0.019689938122141513,0.04758541834813021,0.08549233252623083,0.07371536185095508,0.054149852031207965,0.029603847188592953,0.0009000041940448547,-0.002821704423789779
D,18,4,0.01689870863599677,0.01875168146354587,0.05016142050040355,0.0841168953457089,0.07671845574387948,0.05253564702717245,0.03042440139897767,0.0009539474856835871,-0.0043566402246420265
D,19,4,0.017779795534032822,0.019195587839655637,0.04786454129674469,0.08536117836965294,0.07482512779122949,0.05053470540758676,0.030333602367500673,0.0009594759375122091,-0.0037477125599888754
D,20,4,0.018502824858757063,0.01874831853645413,0.04953255313424805,0.08358218993812214,0.07238027979553403,0.05392789884315308,0.028941350551520043,0.000528425182799589,-0.003019787730349075
D,21,5,0.017581382835620125,0.018297686306160882,0.03899650255582459,0.08430858218993813,0.07691014258810869,0.06390906645143933,0.03784974441754103,0.0036395570331292345,-0.0033301440163168595
D,22,5,0.017271993543179983,0.017964756524078557,0.040129808985741186,0.07940543449018025,0.07833938660209847,0.06486750067258541,0.0367635189669088,0.0035769132823611177,-0.004045685105237128
D,23,5,0.016717110573042777,0.017187920365886466,0.037947269303201504,0.0803773204196933,0.07742130750605326,0.06347524885660479,0.03610774818401937,0.003965600408270983,-0.003882321919885937
D,24,5,0.01740314769975787,0.01746704331450094,0.03941014258810869,0.08119451170298628,0.07746838848533764,0.06385525961797148,0.03567056766209309,0.0034932130309213365,-0.0036441531964330393
D,25,5,0.018876109765940275,0.01797820823244552,0.03517285445251547,0.0761736615550175,0.0717984934086629,0.058504842615012105,0.03556295399515739,0.003627900796695679,-0.0032243482457931334
E,1,1,0.025797013720742536,0.0439198278181329,0.0761333064299166,0.10310734463276836,0.04955945655098198,0.0907923056228141,0.030091471616895345,-0.00904189593493848,0.006399650648923659
E,2,1,0.026536857680925476,0.040153349475383376,0.06759819747107883,0.1008272800645682,0.04895076674737692,0.09051654560129137,0.029933414043583535,-0.007030352159110996,0.006236712336175853
E,3,1,0.027528921172988968,0.03896959913909066,0.06288673661555018,0.09797551789077213,0.05001008878127522,0.0835115684691956,0.029681194511702987,-0.00586058436041447,0.005384436542303392
E,4,1,0.028645412967446864,0.03820957761635728,0.06133979015334948,0.09676822706483723,0.049569545332257194,0.08326943771859026,0.02875638956147431,-0.005900946156364619,0.005361261379959466
E,5,1,0.032714554748453056,0.039292440139897765,0.06250672585418349,0.10400860909335485,0.051109765940274415,0.08459779391982782,0.030283158461124563,-0.005453506192977173,0.005757650730937854
E,6,2,0.029203658864675814,0.04020379338175949,0.07504371805219263,0.09743072370191014,0.06655569007263923,0.08655165456012914,0.03196462200699489,-0.006062177642319402,0.0015271955575974438
E,7,2,0.029684557438794727,0.03694511702986279,0.07834947538337368,0.09432001614205004,0.07018092547753564,0.0841000807102502,0.03323244552058111,-0.005981087799519889,7.907208396495474e-05
E,8,2,0.024189534570890504,0.03737220877051386,0.08150726392251816,0.09589386602098467,0.07212133440947001,0.07709174065106268,0.03158797417271993,-0.006358011054245435,-0.0010626562063670172
E,9,2,0.029630750605326876,0.03494753833736885,0.06166935700834006,0.09638821630347054,0.062267958030669895,0.07990987355394136,0.0312953995157385,-0.0036596732577528057,0.0019332743282929347
E,10,2,0.03175612052730697,0.03656174334140436,0.06788068334678504,0.0972861178369653,0.06578221684153887,0.07906577885391444,0.03259348937315039,-0.00443282743009602,0.0014723779231683777
E,11,3,0.020372612321764863,0.019198950766747377,0.03143664245359161,0.09661016949152543,0.05241458165186979,0.05446596717783159,0.022541700295937585,0.001891953269618182,0.003410603045932111
E,12,3,0.022286117836965293,0.020305353779930053,0.03326607479149852,0.09821428571428571,0.056174334140435836,0.05838714016680118,0.02468388485337638,0.0016237020398649743,0.002751545768551726
E,13,3,0.02692695722356739,0.024919289749798224,0.05129808985741189,0.09457896152811407,0.07323110034974442,0.07207425343018563,0.02758272800645682,-0.00042099873418709964,-1.3293002738727501e-05
E,14,3,0.02577011030400861,0.024619989238633306,0.05233387140166801,0.09309591068065644,0.06959913909066451,0.0742635189669088,0.027754237288135593,-0.0007253857525315182,0.000141015869649831
E,15,3,0.026748722087705137,0.024616626311541566,0.05604654291094969,0.09370796341135325,0.07212806026365348,0.07082660747914986,0.02875975248856605,-0.0009033412334875226,-0.00033364455773386497
E,16,4,0.020362523540489643,0.026668011837503364,0.08857949959644874,0.09339184826472963,0.1262173796072101,0.08030333602367501,0.044286386871132635,0.0019860078955575454,-0.01203680319788947
E,17,4,0.020036319612590798,0.02835956416464891,0.09168684422921711,0.09349273607748183,0.126439332795265,0.08032351358622546,0.04690274414850686,0.000556912274286872,-0.012598387483942037
E,18,4,0.019659671778315846,0.02619383911756793,0.09250739843960183,0.0910983319881625,0.1246031746031746,0.08021926284638149,0.047534974441754106,0.0012606218535274084,-0.013327823662166123
E,19,4,0.020174199623352165,0.02768361581920904,0.09583669626042507,0.09184826472962067,0.12590462738767824,0.08246233521657251,0.04550040355125101,0.0020878896881536026,-0.013222760684683116
E,20,4,0.019605864944847996,0.02680589184826473,0.0873755716976056,0.08922854452515469,0.11867097121334409,0.0782351358622545,0.04753161151466236,1.109621659198565e-06,-0.012211950990139872
E,21,5,0.01813290287866559,0.019898439601829434,0.039107479149852034,0.09203322571966639,0.08502488566047887,0.07419626042507399,0.038293650793650796,0.004313783502923435,-0.0031521430016923733
E,22,5,0.019706752757600216,0.01978073715361851,0.04127993005111649,0.09486817325800377,0.07923728813559322,0.07453591606133979,0.03877454936776971,0.003321017659830141,-0.002103007896618398
E,23,5,0.018613801452784504,0.020594565509819748,0.03979015334947538,0.08826338444982512,0.08134920634920635,0.07379607210115685,0.04040556900726392,0.004013221789869252,-0.003148546660802786
E,24,5,0.01938391175679311,0.02014057035243476,0.03522666128598332,0.09181127253161152,0.07682943233790691,0.06936037126715093,0.03868375033629271,0.004283510520728236,-0.0019601301504064907
E,25,5,0.02034570890503094,0.022235673930589187,0.04670096852300242,0.0879304546677428,0.09599811676082863,0.08331651869787463,0.04585351089588378,0.004586104482247682,-0.005283847741686985
F,1,1,0.022561877858488028,0.02443502824858757,0.03637678235135862,0.09642520850147969,0.049465294592413236,0.06454465967177832,0.025245493677697066,-4.0515544660294684e-05,0.003752667007502824
F,2,1,0.022925073984396017,0.028016545601291364,0.04448143664245359,0.09674468657519505,0.04898775894538607,0.06730898574118913,0.02520850147968792,-0.001665811090194471,0.003708428841817382
F,3,1,0.021613532418617163,0.02675208501479688,0.04916599408124832,0.10232041969330105,0.04720877051385526,0.06794457896152811,0.02542036588646758,-0.0021861707074019156,0.004238393573770922
F,4,1,0.024963007801990855,0.024667070217917676,0.03495426419155233,0.09378194780737154,0.04870191014258811,0.06524751143395212,0.025178235135862256,-0.0001098439192865434,0.004294965076031743
F,5,1,0.026476324993274146,0.02660747914985203,0.04581988162496637,0.09598466505246166,0.047239036857680924,0.06629674468657519,0.025453995157384987,-0.0020397958921843824,0.0041448867840781015
F,6,2,0.02175141242937853,0.024667070217917676,0.03972289480764057,0.09438727468388486,0.05056833467850417,0.06551318267419963,0.024707425343018563,-0.0005479843608720473,0.0030511996865507625
