condition,image_num,sample_id,particle_count,clark_evans_R,nnd_mean_um,nnd_median_um,nnd_std_um,nnd_cv,voronoi_cv,voronoi_entropy,L_max,L_max_radius_um
G,8,2,950,1.367602221145262,37.21994470744677,34.765884064294994,12.572809571246575,0.3377976423681004,2.474504130269516,5.692942370266017,0.0,0.0
G,9,2,62,1.467469674562346,54.91274786010022,51.87689608710462,20.401751242762455,0.3715303283445124,1.4135643444062571,3.341851183434641,0.0,0.0
G,10,2,1194,1.371414981244665,36.78179934553771,33.950710583258925,12.394379705820507,0.33697045621353394,7.216343588327353,4.943932119658885,0.0,0.0
G,11,3,2133,1.4205956931136612,32.14841386572969,31.046843340956094,8.49820179550977,0.26434280182540765,4.225266760982585,6.676859514962631,4.830345394764464,203.3347239368618
G,12,3,2069,1.4189239280662334,31.870033540311702,30.672497338441765,8.281759001740001,0.2598603792262906,8.380821397260242,5.516331725735484,2.977009404045589,178.88471300747293
G,13,3,2090,1.4181803091338905,32.24316993394158,30.88961359810887,8.591764252231805,0.266467728509146,14.136941601630857,4.730483144636354,3.537950636541126,181.9906178254276
G,14,3,2112,1.4285345932348708,32.66399116032015,31.24398883278913,8.295022794967482,0.25395006857105024,6.433618655674374,6.171751989793803,4.690894825928325,183.99033910383844
G,15,3,2081,1.429766497853566,32.826731233643024,31.146984459851016,8.797146356100392,0.26798727821807883,8.723919430531307,5.720171129509932,4.351915583385278,224.1394562029498
G,16,4,1495,1.3292879999423288,32.094984245604884,30.177985412119273,10.565321223463307,0.3291891699529384,9.48183755313338,4.653881081000446,11.728981480692482,199.78295378750443
G,17,4,1719,1.3718182155671346,31.02264013494995,29.30586414814272,9.671004359091961,0.31174021027941645,10.80177872868623,4.831446970027624,17.20401296404924,291.8550258891886
