radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
7,0.15000000000000002,92.65527950310559,2576,A,9,97.0496894409938,1
8,0.16999999999999998,96.61677463348107,2933,A,9,170.47391749062393,2
9,0.19,102.60493431592438,3121,A,9,240.30759371996157,3
10,0.21000000000000002,109.96646630813034,3161,A,9,316.35558367605194,4
11,0.22999999999999998,107.9490573606097,2493,A,9,300.84235860409143,3
12,0.25,103.05354245538129,1849,A,9,135.2082206598161,1
13,0.27,102.71839799749687,1598,A,9,0.0,0
14,0.29000000000000004,101.2507608034084,1643,A,9,0.0,0
15,0.31,103.71857619577308,1798,A,9,0.0,0
16,0.33,106.20374220374221,1924,A,9,259.87525987525987,2
17,0.35,106.61461461461461,1998,A,9,125.12512512512514,1
18,0.37,105.68705625341343,1831,A,9,136.53741125068268,1
19,0.39,107.40133607399794,1946,A,9,385.40596094552933,3
20,0.41000000000000003,108.74007220216606,2770,A,9,541.5162454873646,6
21,0.43,105.74075059888209,3757,A,9,266.1698163428267,4
22,0.45,106.70189023001595,4391,A,9,512.4117513094967,9
23,0.47,106.11030025020851,4796,A,9,260.63386155129274,5
24,0.49,106.66246709289206,5318,A,9,188.04061677322304,4
25,0.51,103.2854080538968,6531,A,9,344.51079467156643,9
26,0.53,106.11504424778761,8814,A,9,397.09552983889273,14
27,0.55,106.60581473968898,10353,A,9,434.6566212691974,18
28,0.5700000000000001,106.97582759750901,12204,A,9,389.21665027859717,19
29,0.59,103.67124917382684,15130,A,9,396.56311962987445,24
30,0.61,105.3412680756396,17980,A,9,570.0778642936597,41
31,0.63,105.05092592592592,20736,A,9,373.74614197530866,31
32,0.65,105.4631227135179,22141,A,9,440.3595140237569,39
33,0.67,106.6763700170971,22226,A,9,483.66777647799876,43
34,0.69,105.3004597493915,22186,A,9,439.4663301180925,39
35,0.71,107.36248082401929,22815,A,9,383.5196142888451,35
36,0.73,107.29121955373871,23484,A,9,330.0119230114121,31
