condition,image_num,r_um,L_r
A,21,426.7394544634952,-38.48054013742717
A,21,443.809032642035,-44.46678679496597
A,21,460.8786108205748,-50.90941412065365
A,21,477.94818899911456,-57.57688206550682
A,21,495.01776717765443,-63.75583023517845
A,22,0.0,0.0
A,22,17.620691638857643,-13.90372135109473
A,22,35.241383277715286,-3.4111513881803006
A,22,52.86207491657293,1.6394080524633168
A,22,70.48276655543057,5.2984702291017385
A,22,88.10345819428821,6.393399398786954
A,22,105.72414983314586,7.34345516703651
A,22,123.34484147200351,6.89064049095677
A,22,140.96553311086114,7.154683519882269
A,22,158.58622474971878,6.669231995553844
A,22,176.20691638857642,5.278701769854422
A,22,193.82760802743408,3.592157869592654
A,22,211.44829966629172,1.6976120193483268
A,22,229.06899130514935,-0.6743487844222216
A,22,246.68968294400702,-3.3203614778010433
A,22,264.31037458286465,-6.424772346432462
A,22,281.9310662217223,-10.159781921632089
A,22,299.5517578605799,-13.908778202388476
A,22,317.17244949943756,-18.177671424847404
A,22,334.7931411382952,-22.611889748542012
A,22,352.41383277715283,-27.198403025068103
A,22,370.0345244160105,-31.831076523458933
A,22,387.65521605486816,-36.393329577912425
A,22,405.2759076937258,-41.025462468449575
A,22,422.89659933258343,-46.68607540774167
A,22,440.51729097144107,-51.837586582268216
A,22,458.1379826102987,-57.09543365121277
A,22,475.75867424915634,-62.46121702531218
A,22,493.37936588801404,-68.34255390746495
A,22,511.0000575268716,-73.84368604549093
A,23,0.0,0.0
A,23,17.917027455707206,-12.225185364490503
A,23,35.83405491141441,-1.6356032399191704
A,23,53.75108236712162,3.1103916364279627
A,23,71.66810982282882,5.728386065291986
A,23,89.58513727853602,8.07599288906087
A,23,107.50216473424324,9.173656658381404
A,23,125.41919218995045,9.418612816002735
A,23,143.33621964565765,9.857888902586268
A,23,161.25324710136485,9.606334208089379
A,23,179.17027455707205,9.185844019318125
A,23,197.08730201277928,8.363757369461155
A,23,215.00432946848647,6.334424022612865
A,23,232.92135692419367,4.367710224209901
A,23,250.8383843799009,2.6691314860263162
A,23,268.7554118356081,0.1201237794584813
A,23,286.6724392913153,-2.884019262859283
A,23,304.5894667470225,-5.916866214982463
